InputID,TargetID,Distance
64734,Airport (MCI),73374.31591
64734,The Plaza,43718.92358
64734,Power and Light,49976.81952
64734,The Legands,57260.46647
64734,Lee's Summit,33868.00935
64166,Airport (MCI),16964.79281
64166,The Plaza,31625.75366
64166,Power and Light,25283.35857
64166,The Legands,34539.22593
64166,Lee's Summit,46748.25987
64083,Airport (MCI),60135.11767
64083,The Plaza,29559.06321
64083,Power and Light,35038.55377
64083,The Legands,48851.72321
64083,Lee's Summit,13869.73214
64126,Airport (MCI),30116.09958
64126,The Plaza,9906.602671
64126,Power and Light,7435.031867
64126,The Legands,29238.79088
64126,Lee's Summit,21774.12243
64078,Airport (MCI),69415.25394
64078,The Plaza,38843.54704
64078,Power and Light,44676.81792
64078,The Legands,56173.49588
64078,Lee's Summit,24120.89363
64151,Airport (MCI),12051.96646
64151,The Plaza,19459.34592
64151,Power and Light,13585.2957
64151,The Legands,20029.60215
64151,Lee's Summit,39553.12197
66012,Airport (MCI),31638.04907
66012,The Plaza,28192.5265
66012,Power and Light,29338.29737
66012,The Legands,10170.25409
66012,Lee's Summit,48893.07698
66211,Airport (MCI),42325.77255
66211,The Plaza,13672.86453
66211,Power and Light,19980.08298
66211,The Legands,27853.57647
66211,Lee's Summit,21896.94619
66754,Airport (MCI),144675.2076
66754,The Plaza,118158.1358
66754,Power and Light,124490.2367
66754,The Legands,124432.703
66754,Lee's Summit,110339.8172
66738,Airport (MCI),142693.7768
66738,The Plaza,114589.6309
66738,Power and Light,120931.305
66738,The Legands,123524.1955
66738,Lee's Summit,104077.3999
66014,Airport (MCI),121782.2527
66014,The Plaza,97140.93637
66014,Power and Light,103353.4092
66014,The Legands,100867.2395
66014,Lee's Summit,92924.08544
66214,Airport (MCI),37364.94421
66214,The Plaza,13729.53564
66214,Power and Light,18926.52068
66214,The Legands,20476.31605
66214,Lee's Summit,29103.80207
66212,Airport (MCI),38300.02423
66212,The Plaza,12317.76651
66212,Power and Light,18067.56115
66212,The Legands,22662.34655
66212,Lee's Summit,26193.4227
66202,Airport (MCI),30949.38507
66202,The Plaza,7000.245163
66202,Power and Light,11286.40798
66202,The Legands,17875.89996
66202,Lee's Summit,27494.68854
66025,Airport (MCI),54460.65343
66025,The Plaza,45123.32409
66025,Power and Light,48520.93501
66025,The Legands,32963.79108
66025,Lee's Summit,60277.00276
66209,Airport (MCI),45096.08578
66209,The Plaza,16434.77543
66209,Power and Light,22761.98502
66209,The Legands,30081.76172
66209,Lee's Summit,22081.50527
66062,Airport (MCI),51768.60039
66062,The Plaza,28290.47839
66062,Power and Light,34032.51103
66062,The Legands,32121.6818
66062,Lee's Summit,35830.33862
66052,Airport (MCI),42976.00534
66052,The Plaza,39564.41592
66052,Power and Light,41503.87556
66052,The Legands,22537.51172
66052,Lee's Summit,58396.6713
66044,Airport (MCI),51932.30034
66044,The Plaza,53531.21552
66044,Power and Light,54931.02839
66044,The Legands,34328.18273
66044,Lee's Summit,72730.47196
66010,Airport (MCI),136137.9191
66010,The Plaza,110987.9778
66010,Power and Light,117248.2197
66010,The Legands,115324.0029
66010,Lee's Summit,105474.7022
66064,Airport (MCI),94177.9793
66064,The Plaza,71415.5727
66064,Power and Light,77395.72849
66064,The Legands,72924.52991
66064,Lee's Summit,71433.42692
66020,Airport (MCI),33953.30135
66020,The Plaza,55583.10518
66020,Power and Light,52853.80255
66020,The Legands,33973.05519
66020,Lee's Summit,78454.42273
66018,Airport (MCI),43209.49069
66018,The Plaza,34056.37799
66018,Power and Light,36985.40455
66018,The Legands,21428.53878
66018,Lee's Summit,51304.81779
66097,Airport (MCI),45160.77636
66097,The Plaza,64447.22128
66097,Power and Light,62402.16434
66097,The Legands,42052.76161
66097,Lee's Summit,87150.81859
66208,Airport (MCI),34230.98147
66208,The Plaza,5789.373414
66208,Power and Light,11820.88771
66208,The Legands,22227.90522
66208,Lee's Summit,23267.53508
66204,Airport (MCI),34297.68544
66204,The Plaza,9234.923013
66204,Power and Light,14437.09601
66204,The Legands,19712.22136
66204,Lee's Summit,26849.03569
